Age,Gender,Education,JobTitle,YearsOfExp,Salary
47.0,Male,PhD,Data Scientist,19.0,190000.0
32.0,Female,PhD,Data Scientist,9.0,145000.0
36.0,Male,Master's Degree,Product Manager,10.0,160000.0
24.0,Female,Bachelor's Degree,Front end Developer,1.0,51265.0
30.0,Male,Bachelor's Degree,Project Manager,6.0,110000.0
24.0,Female,High School,Receptionist,0.0,25000.0
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0
27.0,Male,Bachelor's Degree,Product Manager,2.0,65000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
28.0,Female,High School,Junior Sales Associate,1.0,30000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
38.0,Male,Master's Degree,Senior HR Generalist,8.0,95000.0
28.0,Female,Bachelor's,Software Engineer,5.0,160000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,71000.0
28.0,Male,Master's Degree,Full Stack Engineer,5.0,84181.0
26.0,Male,Bachelor's Degree,Product Designer,2.0,50000.0
31.0,Male,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0
31.0,Male,Bachelor's Degree,Junior HR Generalist,5.0,60000.0
28.0,Female,Bachelor's Degree,Marketing Analyst,3.0,65000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0
32.0,Female,Master's Degree,Senior HR Generalist,7.0,80000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
33.0,Female,Master's Degree,Marketing Manager,9.0,135000.0
43.0,Female,Master's Degree,Sales Manager,14.0,140000.0
30.0,Female,PhD,Data Scientist,7.0,185000.0
36.0,Female,PhD,Research Scientist,12.0,170000.0
23.0,Male,PhD,Software Engineer Manager,0.0,52612.0
26.0,Male,Bachelor's,Data Analyst,3.0,120000.0
42.0,Male,Bachelor's Degree,Financial Manager,13.0,130000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Master's Degree,Back end Developer,7.0,120000.0
52.0,Female,PhD,Software Engineer Manager,16.0,190000.0
29.0,Female,Master's,Data Scientist,6.0,180000.0
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
39.0,Female,Master's Degree,Marketing Manager,11.0,120000.0
43.0,Male,PhD,Senior Software Engineer,12.0,170000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
24.0,Male,Bachelor's Degree,Sales Executive,1.0,35000.0
28.0,Male,High School,Junior Sales Associate,2.0,35000.0
46.0,Male,Master's,Director of Operations,20.0,170000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0
32.0,Male,Bachelor's Degree,Junior Marketing Manager,6.0,72000.0
35.0,Female,PhD,Research Director,12.0,175000.0
55.0,Male,PhD,Software Engineer Manager,17.0,190000.0
36.0,Female,PhD,Research Director,12.0,175000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0
43.0,Male,PhD,Data Scientist,16.0,160000.0
27.0,Female,Bachelor's Degree,Junior Software Engineer,2.0,48000.0
30.0,Male,Master's Degree,Full Stack Engineer,5.0,105000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
27.0,Male,Bachelor's Degree,Software Engineer,3.0,85000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
24.0,Male,Bachelor's,Data Analyst,1.0,95000.0
33.0,Female,Master's Degree,Marketing Manager,9.0,130000.0
27.0,Female,High School,Junior HR Generalist,1.0,32000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
24.0,Male,High School,Delivery Driver,0.0,28000.0
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
29.0,Male,Bachelor's Degree,Marketing Analyst,4.0,70000.0
28.0,Male,Master's Degree,Front end Developer,5.0,76742.0
27.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,50000.0
30.0,Male,Bachelor's Degree,Web Developer,4.0,65000.0
33.0,Female,Master's Degree,Marketing Manager,8.0,120000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0
28.0,Female,Bachelor's Degree,Junior Software Developer,2.0,37000.0
27.0,Female,Bachelor's Degree,Software Developer,3.0,61000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0
33.0,Female,Master's,Product Manager,11.0,195000.0
39.0,Female,PhD,Senior Research Scientist,13.0,145000.0
30.0,Female,PhD,Data Scientist,7.0,185000.0
49.0,Male,PhD,Data Scientist,22.0,220000.0
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0
24.0,Male,PhD,Software Engineer Manager,1.0,106686.0
43.0,Male,Master's Degree,Senior Software Engineer,21.0,187081.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0
34.0,Male,Master's,Product Manager,12.0,196000.0
32.0,Female,Master's Degree,Financial Manager,8.0,120000.0
28.0,Female,Bachelor's Degree,Front end Developer,2.0,65000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0
36.0,Male,Bachelor's Degree,Sales Director,6.0,75000.0
28.0,Female,Master's,Data Scientist,6.0,175000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0
27.0,Male,Bachelor's Degree,Back end Developer,3.0,85000.0
23.0,Female,Bachelor's Degree,Junior Web Developer,1.0,40000.0
27.0,Female,Bachelor's Degree,Junior Software Developer,2.0,36000.0
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0
38.0,Female,PhD,Software Engineer Manager,15.0,145052.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0
36.0,Female,PhD,Research Scientist,13.0,185000.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
44.0,Male,PhD,Data Scientist,15.0,150000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0
32.0,Female,Master's Degree,Marketing Manager,6.0,77000.0
46.0,Female,PhD,Senior Product Marketing Manager,16.0,160000.0
42.0,Male,Master's Degree,Product Manager,14.0,180000.0
36.0,Male,Bachelor's Degree,Sales Director,6.0,75000.0
26.0,Female,Bachelor's Degree,Junior Software Developer,2.0,35000.0
33.0,Male,Bachelor's Degree,Marketing Manager,9.0,130000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0
41.0,Female,Master's Degree,Marketing Coordinator,13.0,131000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0
31.0,Female,Bachelor's Degree,Software Engineer,5.0,74000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0
28.0,Male,Bachelor's Degree,Web Developer,4.0,65000.0
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
44.0,Female,PhD,Director of HR,14.0,140000.0
28.0,Male,Bachelor's Degree,Marketing Analyst,3.0,65000.0
22.0,Female,High School,Receptionist,0.0,25000.0
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,90000.0
28.0,Female,Master's,Data Scientist,6.0,150000.0
36.0,Male,Master's Degree,Senior Data Scientist,9.0,125000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
42.0,Female,Master's Degree,Senior Project Engineer,11.0,170000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
25.0,Female,Bachelor's,Data Analyst,2.0,110000.0
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0
29.0,Female,Bachelor's Degree,Web Developer,3.0,60000.0
30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,90000.0
27.0,Male,Bachelor's,Software Engineer,4.0,140000.0
32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0
29.0,Male,Master's Degree,Senior HR Generalist,4.0,70000.0
30.0,Female,Bachelor's Degree,Financial Manager,4.0,55000.0
30.0,Female,PhD,Data Scientist,7.0,185000.0
30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,95000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0
26.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,45000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0
26.0,Female,Master's Degree,Front end Developer,2.0,65840.0
33.0,Male,Master's Degree,Back end Developer,6.0,130000.0
32.0,Male,Bachelor's Degree,Junior Marketing Manager,6.0,72000.0
31.0,Female,PhD,Data Scientist,8.0,140000.0
48.0,Male,PhD,Data Scientist,22.0,219000.0
33.0,Female,Bachelor's Degree,Human Resources Manager,6.0,75000.0
34.0,Male,Master's,Product Manager,12.0,196000.0
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0
36.0,Male,Bachelor's Degree,Full Stack Engineer,13.0,143885.0
25.0,Male,High School,Junior Sales Associate,1.0,30000.0
30.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,57000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
35.0,Female,Master's Degree,Marketing Coordinator,8.0,85000.0
38.0,Male,Master's Degree,Marketing Director,14.0,195000.0
33.0,Male,Bachelor's Degree,Marketing Manager,7.0,110000.0
38.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
42.0,Female,Master's Degree,Director of HR,12.0,120000.0
28.0,Female,Bachelor's Degree,Marketing Analyst,3.0,60000.0
27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
36.0,Female,Master's Degree,Marketing Coordinator,8.0,85000.0
31.0,Female,Bachelor's Degree,Junior HR Coordinator,4.0,50000.0
30.0,Male,Master's Degree,Front end Developer,8.0,107895.0
26.0,Male,Bachelor's,Data Analyst,3.0,110000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
55.0,Male,Bachelor's Degree,Senior Project Engineer,28.0,193964.0
39.0,Male,Master's Degree,Senior HR Generalist,10.0,105000.0
29.0,Female,Master's,Data Scientist,6.0,180000.0
53.0,Male,PhD,Software Engineer Manager,25.0,181714.0
30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,95000.0
31.0,Male,Bachelor's,Data Analyst,9.0,195000.0
31.0,Male,Master's Degree,Senior Project Engineer,7.0,135000.0
26.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,55000.0
43.0,Male,Bachelor's Degree,Full Stack Engineer,19.0,152726.0
28.0,Female,Bachelor's,Software Engineer,5.0,160000.0
32.0,Female,Bachelor's Degree,Marketing Manager,7.0,120000.0
25.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0
39.0,Male,Master's Degree,Software Engineer Manager,14.0,142360.0
27.0,Female,Bachelor's Degree,Web Developer,2.0,50000.0
33.0,Female,Master's Degree,Marketing Manager,9.0,130000.0
33.0,Female,Master's,Product Manager,11.0,198000.0
36.0,Female,PhD,Research Scientist,13.0,185000.0
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0
31.0,Male,Bachelor's Degree,Operations Manager,6.0,75000.0
36.0,Female,Master's Degree,Data Scientist,8.0,130000.0
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0
32.0,Male,Bachelor's Degree,Junior Marketing Manager,6.0,72000.0
26.0,Male,High School,Sales Manager,2.0,40000.0
40.0,Male,Master's Degree,Software Engineer Manager,16.0,149748.0
31.0,Male,Bachelor's Degree,Full Stack Engineer,6.0,115000.0
27.0,Male,Bachelor's Degree,Product Designer,2.0,55000.0
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0
25.0,Male,Bachelor's Degree,Financial Analyst,1.0,55000.0
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
26.0,Female,Master's Degree,Front end Developer,1.0,55000.0
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0
34.0,Male,Bachelor's,Product Manager,9.0,185000.0
27.0,Male,Bachelor's Degree,Software Developer,1.0,50000.0
36.0,Female,Master's Degree,Web Developer,7.0,85000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
26.0,Male,Master's Degree,Full Stack Engineer,4.0,91062.0
32.0,Male,Bachelor's Degree,Project Manager,8.0,120000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0
43.0,Male,PhD,Data Scientist,16.0,162000.0
32.0,Female,Master's Degree,Senior Software Engineer,7.0,100000.0
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
47.0,Male,Master's,VP of Operations,19.0,190000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,71000.0
27.0,Female,Bachelor's Degree,Marketing Coordinator,3.0,45000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0
32.0,Female,Bachelor's Degree,Director of Marketing,8.0,80000.0
40.0,Female,Bachelor's Degree,Financial Manager,16.0,215000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
31.0,Male,High School,Sales Associate,3.0,50000.0
47.0,Male,PhD,Software Engineer Manager,14.0,175000.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0
35.0,Male,Master's Degree,Full Stack Engineer,9.0,132638.0
41.0,Male,Bachelor's Degree,Content Marketing Manager,12.0,120000.0
28.0,Female,Master's,Data Scientist,6.0,155000.0
32.0,Male,Bachelor's Degree,Product Manager,7.0,120000.0
52.0,Male,Master's Degree,Senior Software Engineer,27.0,186794.0
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0
25.0,Male,Bachelor's Degree,Product Manager,1.0,60000.0
29.0,Female,Bachelor's Degree,Digital Marketing Specialist,3.0,60000.0
29.0,Female,Master's,Data Scientist,6.0,180000.0
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0
32.0,Male,Bachelor's Degree,Product Manager,7.0,120000.0
32.0,Female,Master's Degree,Senior Software Engineer,7.0,100000.0
33.0,Male,Master's Degree,Data Analyst,8.0,100000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0
29.0,Female,Master's,Data Scientist,6.0,150000.0
42.0,Female,Master's Degree,Full Stack Engineer,14.0,163978.0
34.0,Female,Master's Degree,Full Stack Engineer,7.0,130000.0
45.0,Male,Master's Degree,Director of HR,14.0,140000.0
27.0,Male,Bachelor's Degree,Software Engineer,3.0,60000.0
37.0,Male,PhD,Product Manager,14.0,195000.0
30.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0
30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,90000.0
33.0,Female,Master's Degree,Senior Software Engineer,8.0,105000.0
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
38.0,Female,Master's,Public Relations Manager,10.0,90000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0
28.0,Female,Bachelor's,Software Engineer,5.0,160000.0
29.0,Female,Bachelor's,Data Analyst,7.0,130000.0
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0
27.0,Male,Bachelor's Degree,Software Engineer,3.0,80000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
46.0,Male,Bachelor's,IT Manager,19.0,120000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0
28.0,Female,Bachelor's Degree,Marketing Analyst,3.0,60000.0
38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0
36.0,Female,PhD,Research Scientist,12.0,170000.0
31.0,Male,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0
35.0,Male,Master's Degree,Full Stack Engineer,9.0,130275.0
27.0,Female,Master's Degree,Junior HR Generalist,2.0,42000.0
28.0,Female,Master's,Data Scientist,6.0,155000.0
32.0,Female,Master's Degree,Senior Human Resources Manager,6.0,80000.0
37.0,Male,Master's Degree,Marketing Director,14.0,190000.0
32.0,Female,PhD,Data Scientist,9.0,145000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,70000.0
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0
27.0,Male,Bachelor's Degree,Software Developer,3.0,60000.0
26.0,Male,Bachelor's Degree,Marketing Analyst,2.0,50000.0
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
54.0,Male,Master's Degree,Senior Software Engineer,32.0,195270.0
27.0,Male,Bachelor's,Software Engineer,4.0,140000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
29.0,Female,Master's,Data Scientist,6.0,180000.0
33.0,Female,Master's Degree,Front end Developer,9.0,119918.0
37.0,Male,Master's Degree,Marketing Director,14.0,190000.0
33.0,Male,Bachelor's Degree,Marketing Manager,7.0,110000.0
53.0,Other,High School,Senior Project Engineer,31.0,166109.0
44.0,Female,PhD,Senior Project Engineer,16.0,190000.0
32.0,Female,Master's Degree,Financial Manager,8.0,120000.0
41.0,Male,Master's Degree,Senior HR Generalist,11.0,115000.0
29.0,Female,High School,Junior Sales Associate,1.0,30000.0
28.0,Female,Bachelor's Degree,Junior Software Developer,2.0,37000.0
41.0,Female,Master's Degree,Human Resources Manager,13.0,140000.0
45.0,Male,Master's Degree,Software Engineer Manager,19.0,163780.0
30.0,Female,PhD,Data Scientist,7.0,185000.0
40.0,Male,Master's Degree,Software Engineer Manager,17.0,151670.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0
39.0,Female,Master's Degree,Marketing Manager,14.0,170000.0
29.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0
45.0,Male,Master's,Director of Engineering,19.0,180000.0
28.0,Female,Bachelor's Degree,Human Resources Coordinator,4.0,60000.0
43.0,Female,PhD,Senior Human Resources Manager,15.0,150000.0
52.0,Male,Bachelor's Degree,Back end Developer,25.0,168287.0
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
32.0,Male,Bachelor's,Software Engineer,10.0,190000.0
31.0,Male,Bachelor's Degree,Back end Developer,8.0,100679.0
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0
36.0,Female,Master's Degree,Web Developer,7.0,85000.0
32.0,Male,Bachelor's Degree,Product Manager,7.0,120000.0
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0
27.0,Female,Master's Degree,Back end Developer,2.0,70000.0
26.0,Male,Master's Degree,Full Stack Engineer,3.0,91397.0
36.0,Female,PhD,Research Scientist,12.0,170000.0
34.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
28.0,Female,Bachelor's Degree,Marketing Analyst,3.0,60000.0
41.0,Female,PhD,Director of Data Science,16.0,200000.0
27.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,50000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0
28.0,Male,Bachelor's Degree,Web Developer,4.0,65000.0
41.0,Male,PhD,Data Scientist,12.0,130000.0
31.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,65000.0
55.0,Female,PhD,Software Engineer Manager,29.0,190543.0
33.0,Female,Master's Degree,Marketing Manager,9.0,130000.0
24.0,Female,High School,Receptionist,0.0,25000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
33.0,Male,Master's,Data Scientist,10.0,195000.0
26.0,Female,Master's Degree,Front end Developer,2.0,65840.0
